Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Rane Brake Lining,Auto Components | 201-500 Employees | Public | 60 years old | Chennai +18 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,269
InCred Finance,NBFC | 1k-5k Employees | Indian Unicorn | 8 years old | Mumbai +31 more,3.9,,Promotions / Appraisal,269
InfoBeans,IT Services & Consulting | 1k-5k Employees | Public | 24 years old | Indore +5 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",269
V-bazaar Retail,Retail | 1k-5k Employees | 8 years old | Gurgaon +57 more,3.9,,,269
Kores,FMCG | 1k-5k Employees | Conglomerate | 88 years old | Mumbai +33 more,3.8,,Promotions / Appraisal,269
Infocepts Technologies,IT Services & Consulting | 1k-5k Employees | 20 years old | Washington DC +6 more,3.3,,"Job Security, Promotions / Appraisal, Work Satisfaction",269
Samsung SDS,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 39 years old | Seoul +19 more,3.4,,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",269
D.p. Jain & Co. Infrastructure Pvt .,Engineering & Construction | 201-500 Employees | 50 years old | Nagpur +30 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Job Security",268
Adient,Auto Components | 501-1k Employees | Forbes Global 2000 | 28 years old | Plymouth +13 more,3.9,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",268
Nutricia,Fitness & Wellness | 5k-10k Employees (Global) | 128 years old | Utrecht +55 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Company Culture",268
GM Modular,Electrical Equipment | 501-1k Employees | 24 years old | Mumbai +50 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,268
Finova Capital,NBFC | 1k-5k Employees | 9 years old | Jaipur +100 more,3.9,,,268
eNoah iSolution,IT Services & Consulting | 1k-5k Employees | 19 years old | Chennai +5 more,3.9,"Job Security, Work Life Balance, Salary & Benefits",,268
Kunal Structure,Real Estate | 201-500 Employees | 18 years old | Ahmedabad +25 more,3.8,,"Promotions / Appraisal, Job Security",268
Cloud4C,IT Services & Consulting | 1k-5k Employees | 10 years old | Singapore +7 more,3.4,,"Work Life Balance, Company Culture, Promotions / Appraisal",268
Metrochem Api,Pharma | 201-500 Employees | 20 years old | Hyderabad/Secunderabad +8 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",268
Biz 2 Credit Info Services,Financial Services | 201-500 Employees | 17 years old | New York +3 more,4,"Salary & Benefits, Job Security, Work Life Balance",,268
Victora Tool Engineers,Auto Components | 1k-5k Employees | 52 years old | Faridabad +9 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",267
Pranav Vikas India Private Limited,Automobile | 1k-5k Employees | 37 years old | Delhi/NCR +8 more,3.8,,"Promotions / Appraisal, Job Security, Work Satisfaction",267
Essilor,Medical Equipment | 501-1k Employees | 175 years old | Charenton-le-Pont +38 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,267
Stovekraft,Consumer Electronics & Appliances | 1k-5k Employees | 30 years old | Bangalore/Bengaluru +38 more,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits",267
Cohance Lifesciences,Pharma | 1k-5k Employees | Hyderabad / Secunderabad +16 more,3.8,,"Promotions / Appraisal, Company Culture, Work Satisfaction",267
Miracle Software Systems,IT Services & Consulting | 1k-5k Employees | 30 years old | Novi +7 more,4,"Skill Development / Learning, Job Security, Work Satisfaction",,267
Wipro Infotech Limited,Gurgaon / Gurugram +37 more,4.1,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",267
Quintessence Business Solutions & Services,Analytics & KPO | 501-1k Employees | 13 years old | Dallas +1 more,4,"Company Culture, Job Security, Skill Development / Learning",,267
Mindlance,Recruitment | 1k-5k Employees | 25 years old | Union +10 more,4,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,267
Unity Small Finance Bank,Banking | 1k-5k Employees | Mumbai +51 more,3.9,"Company Culture, Work Life Balance",,267
RDC Concrete (India),Real Estate | 501-1k Employees | 31 years old | Mumbai +46 more,4.1,"Skill Development / Learning, Company Culture, Job Security",,266
Kelly Services,Recruitment | 201-500 Employees | 78 years old | Troy +35 more,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,266
Osource India,IT Services & Consulting | 201-500 Employees | 20 years old | Noida +18 more,3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",266
AVIOM,NBFC | 201-500 Employees | Startup | 8 years old | Delhi +103 more,4.1,"Work Life Balance, Salary & Benefits, Company Culture",,266
Mahle Anand Thermal Systems,Auto Components | 1k-5k Employees | Pune +10 more,4.2,"Company Culture, Job Security, Skill Development / Learning",,266
Desun Hospital & Heart Institute,Healthcare | 201-500 Employees | 16 years old | Kolkata +9 more,4,"Skill Development / Learning, Company Culture, Work Satisfaction",,266
Onsitego,Consumer Electronics & Appliances | 1k-5k Employees | 14 years old | Mumbai +21 more,4,Salary & Benefits,,266
TVS Mobility,Automobile | 5k-10k Employees | Public | 113 years old | Madurai +59 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,266
RCL-PRIYA CEMENT,Building Material | 501-1k Employees | 50 years old | Hyderabad/Secunderabad +41 more,4.1,"Job Security, Work Life Balance, Company Culture",,265
Himatsingka Seide,Fashion & Textile | 5k-10k Employees | Public | 39 years old | Bangalore/Bengaluru +7 more,3.8,,"Job Security, Promotions / Appraisal, Work Life Balance",265
Examity,EdTech | 201-500 Employees (Global) | Startup | 11 years old | Needham +4 more,3.4,,"Promotions / Appraisal, Company Culture, Salary & Benefits",265
ZF India Technology Center,Auto Components | 10k-50k Employees | 109 years old | Friedrichshafen +6 more,3.7,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",265
Tata Marcopolo Motors,Auto Components | 1k-5k Employees | Public | 79 years old | Pune +12 more,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction",265
Invensis Technologies,BPO | 501-1k Employees | 24 years old | Bangalore/Bengaluru +9 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",265
Syncfusion,Software Product | 1k-5k Employees | 23 years old | Morrisville +4 more,3.5,Job Security,"Company Culture, Work Life Balance, Work Satisfaction",265
Soma Enterprises,Engineering & Construction | 1k-5k Employees | 27 years old | Hyderabad/Secunderabad +44 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,265
Flyjac Logistics,Logistics | 1k-5k Employees | 34 years old | Chennai +44 more,4.2,"Job Security, Company Culture, Salary & Benefits",,265
Sumitomo Chemical,Chemicals | 1k-5k Employees | Fortune India 500 | 99 years old | Chuo City +57 more,4,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,264
Paragon Digital Services,Marketing & Advertising | 1k-5k Employees | 17 years old | Chennai +8 more,3.3,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",264
Call 2 Connect,BPO | 1k-5k Employees | 21 years old | Mumbai +16 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",264
Ample Technologies,IT Services & Consulting | 1k-5k Employees | 28 years old | Bangalore/Bengaluru +21 more,3.8,,"Promotions / Appraisal, Work Satisfaction",264
Hathi Cement,Building Material | 501-1k Employees | 68 years old | Mumbai +30 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,264
Birla Cement,Building Material | 5k-10k Employees | 114 years old | Kolkata +60 more,4.2,"Job Security, Work Life Balance, Company Culture",,264
Evolent Health International,Software Product | 501-1k Employees | Public | 13 years old | Arlington +2 more,3.9,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,264
Arvind Fashions,Fashion & Textile | 1k-5k Employees | Public | 31 years old | Bangalore/Bengaluru +47 more,3.9,,Promotions / Appraisal,264
Birla white,Building Material | 1-10 Employees | 36 years old | Mumbai +76 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,264
L&T Realty,Real Estate | 201-500 Employees | Mumbai +10 more,4.3,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,264
ITM Group of Institutions,Education & Training | 1k-5k Employees | 33 years old | Mumbai +32 more,3.8,"Work Life Balance, Job Security","Salary & Benefits, Promotions / Appraisal",264
Virchow Biotech,Pharma | 1k-5k Employees | 25 years old | Hyderabad/Secunderabad +10 more,3.3,,"Salary & Benefits, Promotions / Appraisal, Company Culture",264
Apparel Group India Private Limited,Retail | 1k-5k Employees | 23 years old | Mumbai +27 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",264
Veeda Clinical Research,Clinical Research | 501-1k Employees | 20 years old | Ahmedabad +5 more,4,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,264
Carrier Midea,Semiconductors | 501-1k Employees | 12 years old | Gurgaon/Gurugram +41 more,4,"Work Life Balance, Company Culture",Promotions / Appraisal,263
Hical Technologies,Auto Components | 501-1k Employees | 36 years old | Bangalore/Bengaluru +4 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",263
Zuari Cement,Building Material | 1k-5k Employees | 24 years old | Bangalore/Bengaluru +33 more,4.4,"Job Security, Work Life Balance, Company Culture",,263
Imarticus Learning,EdTech | 501-1k Employees | Startup | 12 years old | Mumbai +20 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,263
L&T Transportation Infrastructure,Engineering & Construction | 5k-10k Employees | 27 years old | Mumbai +35 more,4.7,"Job Security, Skill Development / Learning, Company Culture",,263
Hical Technologies,Auto Components | 501-1k Employees | 36 years old | Bangalore/Bengaluru +4 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",263
63 Moons Technologies,IT Services & Consulting | 501-1k Employees | Public | 36 years old | Mumbai +12 more,3.9,,Promotions / Appraisal,263
HDFC Mutual Fund,Financial Services | 1k-5k Employees | 25 years old | Mumbai +81 more,4,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",263
Bses Yamuna Power,Power | 501-1k Employees | 22 years old | New Delhi +4 more,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",263
Globtier Infotech,IT Services & Consulting | 501-1k Employees | 19 years old | Noida +36 more,3.6,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",263
Tessolve Semiconductor,Semiconductors | 1k-5k Employees | 20 years old | Bangalore/Bengaluru +10 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",263
Actalent Services,IT Services & Consulting | 501-1k Employees | 41 years old | Hanover +9 more,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",263
AirAsia,Aviation | 1k-5k Employees | Public | 11 years old | Bangalore/Bengaluru +24 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",263
MRF Vapocure Paints,Chemicals | 51-200 Employees | 35 years old | Chennai +70 more,4,Salary & Benefits,Promotions / Appraisal,263
T&M Services consulting,Recruitment | 501-1k Employees | 28 years old | Mumbai +72 more,4,,"Job Security, Promotions / Appraisal",263
Arvato,IT Services & Consulting | 201-500 Employees | 28 years old | Gütersloh +7 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",234
Hitachi Hi-Rel Power Electronics,Electronics Manufacturing | 501-1k Employees | 41 years old | Ahmedabad +26 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",262
Nexteer Automotive,Auto Components | 1k-5k Employees | 118 years old | Auburn Hills +8 more,3.9,Skill Development / Learning,,262
SiliconIndia,Printing & Publishing | 1k-5k Employees | 27 years old | Bangalore/Bengaluru +7 more,2.5,,"Company Culture, Job Security, Promotions / Appraisal",262
Shriram Group,Financial Services | 50k-1 Lakh Employees | Conglomerate | 50 years old | Chennai +119 more,4,Job Security,,262
Alchemy Techsol India,IT Services & Consulting | 501-1k Employees | 10 years old | Bangalore +14 more,3.6,,"Promotions / Appraisal, Job Security, Skill Development / Learning",262
Clix Capital Services,FinTech | 501-1k Employees | 8 years old | Gurgaon +25 more,3.8,"Skill Development / Learning, Salary & Benefits",,262
Realme,Consumer Electronics & Appliances | 1k-5k Employees | Gurgaon / Gurugram +68 more,3.7,,"Promotions / Appraisal, Job Security, Company Culture",262
Adani Capital,NBFC | 1k-5k Employees | 7 years old | Mumbai +82 more,4.2,"Work Life Balance, Company Culture, Salary & Benefits",,262
AIRBUS,Defence & Aerospace | 5k-10k Employees | Public | 54 years old | Leiden +7 more,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",262
Zf Wind Power,1k-5k Employees | 101 years old | Lommel +6 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,262
Innovatiview,Education & Training | 501-1k Employees | 14 years old | Noida +6 more,4,"Company Culture, Job Security, Salary & Benefits",,261
Zeetech Management And Marketing,1-10 Employees | 13 years old | Dehradun +36 more,4.3,"Company Culture, Work Satisfaction, Skill Development / Learning",,261
Polybond India,Auto Components | 1k-5k Employees | 46 years old | Pune +10 more,3.8,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",261
Aeries Technology,IT Services & Consulting | 501-1k Employees | 12 years old | Mumbai +5 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Job Security",261
Kennametal,Industrial Machinery | 501-1k Employees | Public | 86 years old | Latrobe +11 more,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",261
Cipla Health,Pharma | 10k-50k Employees | Public | 11 years old | Mumbai +55 more,4.2,"Work Life Balance, Company Culture, Salary & Benefits",,261
Vasan Eye Care Hospitals,Healthcare | 5k-10k Employees | 22 years old | Chennai +67 more,3.9,"Work Satisfaction, Company Culture, Job Security",Promotions / Appraisal,260
Nyati Group,Real Estate | 501-1k Employees | 27 years old | Pune +11 more,4.2,"Job Security, Salary & Benefits, Company Culture",,260
P.D. Hinduja National Hospital and Medical Research Centre,Healthcare | 1k-5k Employees | 73 years old | Mumbai +9 more,3.8,,"Promotions / Appraisal, Work Satisfaction",260
REPCO HOME FINANCE,NBFC | 501-1k Employees | Public | 24 years old | Chennai +74 more,3.8,Job Security,"Promotions / Appraisal, Company Culture",260
Tekion,Software Product | 1k-5k Employees | Startup | 8 years old | Pleasanton +4 more,3,,"Work Life Balance, Promotions / Appraisal, Job Security",260
Agarwal Packers and Movers Limited,Logistics | 5k-10k Employees | Public | 37 years old | Delhi/NCR +41 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",260
Mahindra Insurance Brokers,Insurance | 1k-5k Employees | 20 years old | Mumbai +69 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",260
METRO Global Solutions Center,IT Services & Consulting | 501-1k Employees | Public | 13 years old | Pune +6 more,4,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",259
Hindustan Wellness,Healthcare | 501-1k Employees | Startup | 10 years old | Gurgaon +14 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,259
AIS Glass Solutions,Building Material | 51-200 Employees | 40 years old | Gurgaon +29 more,3.7,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",259
SPML Infra,Engineering & Construction | 201-500 Employees | Public | 43 years old | Delhi/NCR +46 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Job Security",259
Wildcraft,Internet | 1k-5k Employees | 26 years old | Bangalore +38 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",259
Accurex Biomedical,Medical Equipment | 201-500 Employees | 40 years old | Mumbai +47 more,4.6,"Skill Development / Learning, Company Culture, Work Life Balance",,259
Selec Controls,Electronics Manufacturing | 1k-5k Employees | 24 years old | Navi Mumbai +18 more,3.6,,"Promotions / Appraisal, Company Culture, Salary & Benefits",259
AIG Hospital,Healthcare | 1k-5k Employees | 38 years old | Hyderabad +2 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,259
Dr. Agarwal's Eye Hospital,Healthcare | 1k-5k Employees | Public | 67 years old | Chennai +44 more,4,"Job Security, Skill Development / Learning, Work Life Balance",,259
Bangalore International Airport,Aviation | 10k-50k Employees | 23 years old | Bangalore/Bengaluru +11 more,4.3,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,259
LeadSquared,Software Product | 1k-5k Employees | Indian Unicorn | 13 years old | Bangalore +14 more,2.9,,"Company Culture, Promotions / Appraisal, Work Satisfaction",259
Speridian Technologies,IT Services & Consulting | 1k-5k Employees | 22 years old | Albuquerque +14 more,3.6,,"Promotions / Appraisal, Salary & Benefits",259
Samsung Display,Electronics Manufacturing | 501-1k Employees | 5 years old | Yongin-si +4 more,3.9,"Job Security, Work Life Balance, Company Culture",,259
Oberoi Realty,Real Estate | 501-1k Employees | Public | 44 years old | Mumbai +8 more,3.9,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,259
Carraro,Industrial Machinery | 1k-5k Employees | 92 years old | Campodarsego +2 more,4,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,259
Silver Touch Technologies,IT Services & Consulting | 1k-5k Employees | Public | 32 years old | Ahmedabad +26 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",258
Lafarge,Building Material | 201-500 Employees | 191 years old | Paris +74 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,258
Arabian Industries,Oil & Gas | 51-200 Employees | 33 years old | Muscat +12 more,4,"Work Life Balance, Company Culture",Promotions / Appraisal,258
L&T–MHI Power Boilers,Industrial Machinery | 201-500 Employees | 18 years old | Faridabad +19 more,4,"Work Life Balance, Skill Development / Learning, Job Security",Promotions / Appraisal,258
Boehringer-Ingelheim,Pharma | 501-1k Employees | 139 years old | Ingelheim +47 more,4.1,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal,258
kipi.bi,IT Services & Consulting | 201-500 Employees | Houston +12 more,4.5,"Skill Development / Learning, Company Culture, Job Security",,258
Knack Global,IT Services & Consulting | 501-1k Employees | 17 years old | Woodbridge +8 more,3.1,,"Work Life Balance, Work Satisfaction, Company Culture",258
GD Research Center,Analytics & KPO | 1k-5k Employees | 17 years old | Hyderabad/Secunderabad +7 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",258
Foundit,Hyderabad / Secunderabad +14 more,3.5,,"Promotions / Appraisal, Job Security, Work Satisfaction",258
Smart Value Products And Services,FMCG | 201-500 Employees | 18 years old | Delhi/NCR +67 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,257
Berkadia,Real Estate | 501-1k Employees | 15 years old | New York +5 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,257
Confidence Petroleum India,Oil & Gas | 501-1k Employees | Public | 27 years old | Nagpur +42 more,3.3,,"Promotions / Appraisal, Job Security, Company Culture",257
SALARPURIA SATTVA,Real Estate | 1k-5k Employees | 38 years old | Bangalore/Bengaluru +12 more,4.2,"Job Security, Work Life Balance, Company Culture",,257
Allana Group of Companies,Food Processing | 5k-10k Employees | 159 years old | Mumbai +29 more,3.8,,"Promotions / Appraisal, Job Security, Skill Development / Learning",257
KOREA PLANT SERVICE AND ENGINEERING,Engineering & Construction | 201-500 Employees | 40 years old | Naju +21 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",257
The Dow Chemical Company,Chemicals | 1k-5k Employees | 26 years old | Mumbai +13 more,4.2,"Work Life Balance, Company Culture, Salary & Benefits",,257
International Automotive Components,Auto Components | 501-1k Employees | 18 years old | Southfield +13 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Job Security",257
Ambit Finvest,NBFC | 1k-5k Employees | Mumbai +65 more,4,"Salary & Benefits, Company Culture, Work Life Balance",,257
Kaynes Technology,Electronics Manufacturing | 1k-5k Employees | 36 years old | Mysore +11 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",257
Dorf Ketal Chemicals,Oil & Gas | 1k-5k Employees | 32 years old | Houston +28 more,4,"Job Security, Work Life Balance",Promotions / Appraisal,257
Eastman Auto and Power Limited,Electrical Equipment | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +32 more,3.8,,"Job Security, Work Satisfaction, Skill Development / Learning",257
Andromeda Sales And Distribution,Internet | 1k-5k Employees | 33 years old | Mumbai +50 more,3.1,,"Job Security, Salary & Benefits, Promotions / Appraisal",257
Elentec India,IT Services & Consulting | 11-50 Employees | 42 years old | Hwasung City +16 more,3.8,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,257
Mobikwik,FinTech | 501-1k Employees | 15 years old | Gurgaon +18 more,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture",257
Flipkart Wholesale,11-50 Employees | Bangalore / Bengaluru +52 more,4,"Salary & Benefits, Company Culture",,257
Labcorp,Healthcare | 501-1k Employees | Forbes Global 2000 | 55 years old | Burlington +9 more,4.1,"Job Security, Company Culture, Work Life Balance",,257
Personiv,BPO | 1k-5k Employees | 39 years old | Austin +9 more,3.7,,Promotions / Appraisal,256
Amartex Industries,Fashion & Textile | 51-200 Employees | Public | 36 years old | Panchkula +18 more,4.3,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",,256
Cavisson Systems,IT Services & Consulting | 501-1k Employees | 13 years old | Santa Clara +3 more,2.3,,"Work Life Balance, Company Culture, Salary & Benefits",256
Pharmaceutical job,Pharma | Paris +51 more,4,"Skill Development / Learning, Work Satisfaction, Company Culture",,152
"Sanjay Ghodawat International School, Kolhapur",Education & Training | 201-500 Employees | 14 years old | Kolhapur +10 more,2.4,,"Job Security, Work Life Balance, Work Satisfaction",152
Advantum Health,Healthcare | 201-500 Employees | 28 years old | Louisville +3 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",152
Asiana Times,Media & Entertainment | 51-200 Employees | Nagpur +4 more,4.4,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Salary & Benefits,152
Gyansys Infotech,IT Services & Consulting | 201-500 Employees | 19 years old | Carmel +10 more,3.1,,"Company Culture, Skill Development / Learning, Work Satisfaction",152
Crimson Interactive,Content Development | 501-1k Employees | 19 years old | New York +4 more,3,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",152
Neolite Zkw Lightings,Auto Components | 201-500 Employees | 72 years old | Delhi/NCR +7 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",152
Elsamex Maintenance Services,Facility Management Services | 201-500 Employees | 25 years old | Ahmedabad +36 more,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,152
Healthium Medtech,Medical Equipment | 501-1k Employees | 32 years old | Bangalore/Bengaluru +32 more,3.6,,"Job Security, Promotions / Appraisal, Work Life Balance",152
Source One Management Services,IT Services & Consulting | 1k-5k Employees | 39 years old | Grove +10 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",144
Continuum Managed Services,IT Services & Consulting | 51-200 Employees | Conglomerate | 19 years old | Tampa +4 more,4,Skill Development / Learning,,143
Hidesign,Retail | 201-500 Employees | 46 years old | Pondicherry/Puducherry +25 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Job Security",151
Rajesh Motors,Automobile | 51-200 Employees | 44 years old | Jaipur +21 more,3.8,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",151
Coverfox,Insurance | 201-500 Employees | 11 years old | Mumbai +8 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,151
MMTC-PAMP,Metals & Mining | 1k-5k Employees | Fortune India 500 | 16 years old | New Delhi +17 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Job Security",151
Ministry of Home Affairs,Government | 51-200 Employees | Central | 77 years old | New Delhi +24 more,4.4,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,151
Siddha Group,Real Estate | 501-1k Employees | 38 years old | Kolkata +6 more,3.7,,Promotions / Appraisal,151
Red FM 93.5,Broadcasting | 501-1k Employees (Global) | Public | 22 years old | Delhi/NCR +46 more,4,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",151
Pure & Cure Healthcare,Pharma | 11-50 Employees | 19 years old | Haridwar +7 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,151
Gulf Spic General Trading & Contracting Company,Engineering & Construction | 5k-10k Employees (Global) | 27 years old | Fahaheel +9 more,3.6,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",151
Pharmaceutical job,Pharma | Paris +51 more,4,"Skill Development / Learning, Work Satisfaction, Company Culture",,152
"Sanjay Ghodawat International School, Kolhapur",Education & Training | 201-500 Employees | 14 years old | Kolhapur +10 more,2.4,,"Job Security, Work Life Balance, Work Satisfaction",152
Advantum Health,Healthcare | 201-500 Employees | 28 years old | Louisville +3 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",152
Asiana Times,Media & Entertainment | 51-200 Employees | Nagpur +4 more,4.4,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Salary & Benefits,152
Gyansys Infotech,IT Services & Consulting | 201-500 Employees | 19 years old | Carmel +10 more,3.1,,"Company Culture, Skill Development / Learning, Work Satisfaction",152
Crimson Interactive,Content Development | 501-1k Employees | 19 years old | New York +4 more,3,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",152
Neolite Zkw Lightings,Auto Components | 201-500 Employees | 72 years old | Delhi/NCR +7 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",152
Elsamex Maintenance Services,Facility Management Services | 201-500 Employees | 25 years old | Ahmedabad +36 more,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,152
Healthium Medtech,Medical Equipment | 501-1k Employees | 32 years old | Bangalore/Bengaluru +32 more,3.6,,"Job Security, Promotions / Appraisal, Work Life Balance",152
Source One Management Services,IT Services & Consulting | 1k-5k Employees | 39 years old | Grove +10 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",144
Continuum Managed Services,IT Services & Consulting | 51-200 Employees | Conglomerate | 19 years old | Tampa +4 more,4,Skill Development / Learning,,143
Hidesign,Retail | 201-500 Employees | 46 years old | Pondicherry/Puducherry +25 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Job Security",151
Rajesh Motors,Automobile | 51-200 Employees | 44 years old | Jaipur +21 more,3.8,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",151
Coverfox,Insurance | 201-500 Employees | 11 years old | Mumbai +8 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,151
MMTC-PAMP,Metals & Mining | 1k-5k Employees | Fortune India 500 | 16 years old | New Delhi +17 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Job Security",151
Ministry of Home Affairs,Government | 51-200 Employees | Central | 77 years old | New Delhi +24 more,4.4,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,151
Siddha Group,Real Estate | 501-1k Employees | 38 years old | Kolkata +6 more,3.7,,Promotions / Appraisal,151
Red FM 93.5,Broadcasting | 501-1k Employees (Global) | Public | 22 years old | Delhi/NCR +46 more,4,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",151
Pure & Cure Healthcare,Pharma | 11-50 Employees | 19 years old | Haridwar +7 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,151
Gulf Spic General Trading & Contracting Company,Engineering & Construction | 5k-10k Employees (Global) | 27 years old | Fahaheel +9 more,3.6,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",151
Roulunds Braking,Auto Components | 1k-5k Employees (Global) | 288 years old | Odense +3 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",151
SunMax Auto Engineering,Auto Components | 51-200 Employees | 20 years old | New Delhi +10 more,2.4,,"Company Culture, Job Security, Promotions / Appraisal",151
